timeDifferenceTo1PPSus,GPSNumberOfSatellites
123665.0,6
111998.0,5
178689.0,6
100792.0,4
169554.0,6
167575.0,6
83174.0,5
178476.0,7
166921.0,6
111243.0,5
147076.0,6
95831.0,5
186805.0,7
147229.0,6
170397.0,6
96119.0,5
178213.0,7
167214.0,6
96230.0,4
113684.0,5
183319.0,8
176859.0,7
155062.0,7
163435.0,8
164532.0,8
192387.0,8
170062.0,8
194281.0,9
198102.0,9
192531.0,9
164435.0,8
142109.0,6
182960.0,8
156370.0,7
168338.0,6
168696.0,6
102945.0,4
93120.0,5
111251.0,5
174607.0,6
155467.0,7
178213.0,6
92904.0,5
135241.0,6
184763.0,7
157418.0,7
91646.0,5
195327.0,8
173841.0,7
194852.0,8
176781.0,6
185708.0,8
165268.0,7
166617.0,6
144980.0,6
91515.0,5
178332.0,7
176470.0,7
167591.0,7
149546.0,6
168927.0,7
185654.0,7
185199.0,8
185682.0,8
156419.0,7
186729.0,7
186380.0,7
178857.0,6
188475.0,8
186786.0,8
186071.0,8
194747.0,8
179112.0,7
177237.0,7
177802.0,6
147636.0,6
175176.0,7
195680.0,8
147725.0,6
167518.0,6
166086.0,7
185834.0,8
196624.0,8
186881.0,7
193146.0,8
185464.0,8
193202.0,9
176733.0,6
222308.0,8
176596.0,7
186569.0,7
185242.0,7
167144.0,6
168240.0,6
216802.0,7
177109.0,7
186454.0,8
185269.0,8
178312.0,7
175284.0,7
163800.0,6
184849.0,7
184648.0,8
155728.0,7
113746.0,5
195190.0,7
183562.0,6
153547.0,8
161575.0,10
196553.0,6
109384.0,5
204126.0,6
198771.0,6
196792.0,7
130495.0,5
184408.0,6
108635.0,4
205517.0,6
184222.0,6
207634.0,7
179750.0,6
196501.0,6
204540.0,7
112412.0,5
188075.0,8
180135.0,7
155053.0,6
177025.0,7
186123.0,8
176202.0,6
172217.0,6
177818.0,7
167050.0,6
176932.0,7
195102.0,8
172582.0,6
201609.0,9
172337.0,8
194699.0,9
173387.0,7
185341.0,8
183846.0,8
180462.0,9
196548.0,6
165944.0,7
165132.0,8
70037.0,4
169570.0,6
167925.0,6
177187.0,7
148505.0,6
190242.0,8
169742.0,6
172915.0,6
168452.0,6
112636.0,5
169154.0,6
176600.0,7
176776.0,7
147487.0,6
177120.0,7
126828.0,6
144284.0,8
159704.0,7
160485.0,9
151572.0,8
159290.0,9
157241.0,10
64075.0,4
68112.0,4
71157.0,4
169404.0,10
71597.0,4
65730.0,4
78862.0,4
67599.0,4
68844.0,4
78872.0,4
69597.0,4
68876.0,4
71934.0,4
69264.0,4
161106.0,10
152033.0,9
144236.0,7
71799.0,5
153947.0,8
153991.0,8
144353.0,8
154657.0,8
144392.0,7
153393.0,8
154285.0,8
138351.0,7
129735.0,6
135960.0,6
81148.0,5
137255.0,6
143575.0,7
153635.0,9
164890.0,10
149626.0,8
162717.0,9
144471.0,8
80432.0,4
136014.0,7
68104.0,4
67309.0,5
77502.0,4
78299.0,5
79932.0,5
66936.0,4
69459.0,5
72369.0,5
71552.0,4
69242.0,5
67235.0,5
78597.0,5
69539.0,5
71448.0,4
72379.0,5
68590.0,5
78866.0,5
75045.0,5
70197.0,5
71014.0,5
68350.0,5
67288.0,5
76686.0,5
68075.0,5
81484.0,5
69014.0,4
70633.0,4
67510.0,4
69698.0,5
80896.0,4
65625.0,5
69222.0,5
78575.0,5
63348.0,4
69889.0,5
69136.0,5
69081.0,5
67872.0,5
65367.0,5
68677.0,5
75014.0,4
84231.0,4
69643.0,4
67782.0,4
137313.0,7
127258.0,6
143444.0,7
163137.0,9
183162.0,10
165715.0,9
181933.0,9
165676.0,9
166397.0,8
174168.0,9
171370.0,10
174805.0,9
168680.0,10
163446.0,10
159951.0,9
163118.0,9
161454.0,9
135437.0,7
164161.0,9
162903.0,9
163432.0,9
166537.0,10
166332.0,9
194259.0,10
192273.0,10
180719.0,9
188714.0,9
132257.0,6
156261.0,7
187319.0,9
180094.0,8
169766.0,7
189662.0,9
187709.0,9
175877.0,8
168992.0,8
180423.0,9
196005.0,10
155796.0,7
198837.0,11
185624.0,9
201360.0,11
155674.0,9
155865.0,9
155573.0,8
163420.0,9
134325.0,7
132456.0,7
126804.0,6
127617.0,6
68119.0,5
134908.0,6
71810.0,5
136380.0,6
136466.0,6
127376.0,6
143762.0,7
141638.0,7
145101.0,7
135612.0,7
144835.0,7
126443.0,6
133216.0,7
137175.0,6
138412.0,6
142533.0,7
149576.0,6
151495.0,8
164476.0,9
137140.0,7
153707.0,8
172332.0,10
145309.0,7
168345.0,10
147243.0,8
160074.0,9
162723.0,9
167330.0,9
146486.0,8
143403.0,7
152970.0,8
154637.0,8
163761.0,9
170459.0,10
172921.0,10
169976.0,10
173044.0,10
155342.0,8
71802.0,4
153801.0,9
160642.0,9
187177.0,7
221654.0,7
228394.0,8
138475.0,5
211349.0,7
227806.0,9
219506.0,9
206295.0,8
231275.0,9
256778.0,11
240265.0,9
