groupCounter,mostFrequentTimestampInGroup,tagA,tagB,timeDiffMs,timeDiffBMinusAMs,tagCntInGroup
18,1707727620,6B14,6280,0.0060,-0.0060,2
19,1707727680,6B14,6280,0.0070,-0.0070,2
20,1707727740,6B14,6280,0.0040,-0.0040,2
21,1707727800,6B14,6280,0.0030,-0.0030,2
22,1707727860,6B14,6280,0.0050,-0.0050,2
23,1707727920,6B14,6280,0.0080,-0.0080,2
24,1707727980,6B14,6280,0.0050,-0.0050,2
25,1707728040,6B14,6280,0.0090,-0.0090,2
26,1707728100,6B14,6280,0.0060,-0.0060,2
27,1707728160,6B14,6280,0.0070,-0.0070,2
28,1707728220,6B14,6280,0.0070,-0.0070,2
29,1707728280,6B14,6280,0.0030,-0.0030,2
30,1707728340,6B14,6280,0.0060,-0.0060,2
31,1707728400,6B14,6280,0.0060,-0.0060,2
32,1707728460,6B14,6280,0.0030,-0.0030,2
33,1707728520,6B14,6280,0.0050,-0.0050,2
34,1707728580,6B14,6280,0.0070,-0.0070,2
35,1707728640,6B14,6280,0.0060,-0.0060,2
36,1707728700,6B14,6280,0.0080,-0.0080,2
37,1707728760,6B14,6280,0.0040,-0.0040,2
38,1707728820,6B14,6280,0.0080,-0.0080,2
39,1707728880,6B14,6280,0.0020,-0.0020,2
40,1707728940,6B14,6280,0.0100,-0.0100,2
41,1707729000,6B14,6280,0.0040,-0.0040,2
42,1707729060,6B14,6280,0.0030,-0.0030,2
43,1707729120,6B14,6280,0.0090,-0.0090,2
44,1707729180,6B14,6280,0.0040,-0.0040,2
45,1707729240,6B14,6280,0.0060,-0.0060,2
46,1707729300,6B14,6280,0.0080,-0.0080,2
47,1707729360,6B14,6280,0.0000,-0.0000,2
48,1707729420,6B14,6280,0.0070,-0.0070,2
49,1707729480,6B14,6280,0.0070,-0.0070,2
50,1707729540,6B14,6280,0.0010,-0.0010,2
51,1707729600,6B14,6280,0.0060,-0.0060,2
52,1707729660,6B14,6280,0.0040,-0.0040,2
53,1707729720,6B14,6280,0.0010,-0.0010,2
54,1707729780,6B14,6280,0.0050,-0.0050,2
55,1707729840,6B14,6280,0.0080,-0.0080,2
56,1707729900,6B14,6280,0.0040,-0.0040,2
57,1707729960,6B14,6280,0.0020,-0.0020,2
58,1707730020,6B14,6280,0.0060,-0.0060,2
59,1707730080,6B14,6280,0.0020,-0.0020,2
60,1707730140,6B14,6280,0.0070,-0.0070,2
61,1707730200,6B14,6280,0.0060,-0.0060,2
62,1707730260,6B14,6280,0.0050,-0.0050,2
63,1707730320,6B14,6280,0.0060,-0.0060,2
64,1707730380,6B14,6280,0.0050,-0.0050,2
65,1707730440,6B14,6280,0.0030,-0.0030,2
66,1707730500,6B14,6280,0.0060,-0.0060,2
67,1707730560,6B14,6280,0.0010,-0.0010,2
68,1707730620,6B14,6280,0.0060,-0.0060,2
69,1707730680,6B14,6280,0.0030,-0.0030,2
70,1707730740,6B14,6280,0.0010,-0.0010,2
71,1707730800,6B14,6280,0.0020,-0.0020,2
72,1707730860,6B14,6280,0.0090,-0.0090,2
73,1707730920,6B14,6280,0.0060,-0.0060,2
74,1707730980,6B14,6280,0.0000,-0.0000,2
75,1707731040,6B14,6280,0.0070,-0.0070,2
76,1707731100,6B14,6280,0.0060,-0.0060,2
77,1707731160,6B14,6280,0.0050,-0.0050,2
78,1707731220,6B14,6280,0.0050,-0.0050,2
79,1707731280,6B14,6280,0.0080,-0.0080,2
80,1707731340,6B14,6280,0.0010,-0.0010,2
81,1707731400,6B14,6280,0.0060,-0.0060,2
82,1707731460,6B14,6280,0.0040,-0.0040,2
83,1707731520,6B14,6280,0.0060,-0.0060,2
84,1707731580,6B14,6280,0.0010,-0.0010,2
85,1707731640,6B14,6280,0.0080,-0.0080,2
86,1707731700,6B14,6280,0.0040,-0.0040,2
87,1707731760,6B14,6280,0.0040,-0.0040,2
88,1707731820,6B14,6280,0.0070,-0.0070,2
89,1707731880,6B14,6280,0.0030,-0.0030,2
90,1707731940,6B14,6280,0.0060,-0.0060,2
91,1707732000,6B14,6280,0.0070,-0.0070,2
92,1707732060,6B14,6280,0.0030,-0.0030,2
93,1707732120,6B14,6280,0.0070,-0.0070,2
94,1707732180,6B14,6280,0.0060,-0.0060,2
95,1707732240,6B14,6280,0.0020,-0.0020,2
96,1707732300,6B14,6280,0.0080,-0.0080,2
97,1707732360,6B14,6280,0.0040,-0.0040,2
98,1707732420,6B14,6280,0.0070,-0.0070,2
99,1707732480,6B14,6280,0.0020,-0.0020,2
100,1707732540,6B14,6280,0.0080,-0.0080,2
101,1707732600,6B14,6280,0.0050,-0.0050,2
102,1707732660,6B14,6280,0.0020,-0.0020,2
103,1707732720,6B14,6280,0.0040,-0.0040,2
104,1707732780,6B14,6280,0.0030,-0.0030,2
105,1707732840,6B14,6280,0.0070,-0.0070,2
106,1707732900,6B14,6280,0.0080,-0.0080,2
107,1707732960,6B14,6280,0.0070,-0.0070,2
108,1707733020,6B14,6280,0.0060,-0.0060,2
109,1707733080,6B14,6280,0.0050,-0.0050,2
110,1707733140,6B14,6280,0.0040,-0.0040,2
111,1707733200,6B14,6280,0.0060,-0.0060,2
112,1707733260,6B14,6280,0.0030,-0.0030,2
113,1707733320,6B14,6280,0.0050,-0.0050,2
114,1707733380,6B14,6280,0.0030,-0.0030,2
115,1707733440,6B14,6280,0.0030,-0.0030,2
116,1707733500,6B14,6280,0.0010,-0.0010,2
117,1707733560,6B14,6280,0.0020,-0.0020,2
118,1707733620,6B14,6280,0.0060,-0.0060,2
119,1707733680,6B14,6280,0.0010,-0.0010,2
120,1707733740,6B14,6280,0.0070,-0.0070,2
121,1707733800,6B14,6280,0.0070,-0.0070,2
122,1707733860,6B14,6280,0.0060,-0.0060,2
123,1707733920,6B14,6280,0.0060,-0.0060,2
124,1707733980,6B14,6280,0.0060,-0.0060,2
125,1707734040,6B14,6280,0.0030,-0.0030,2
126,1707734100,6B14,6280,0.0070,-0.0070,2
127,1707734160,6B14,6280,0.0030,-0.0030,2
128,1707734220,6B14,6280,0.0070,-0.0070,2
129,1707734280,6B14,6280,0.0030,-0.0030,2
130,1707734340,6B14,6280,0.0080,-0.0080,2
131,1707734400,6B14,6280,0.0020,-0.0020,2
132,1707734460,6B14,6280,0.0010,-0.0010,2
133,1707734520,6B14,6280,0.0060,-0.0060,2
134,1707734580,6B14,6280,0.0050,-0.0050,2
135,1707734640,6B14,6280,0.0060,-0.0060,2
136,1707734700,6B14,6280,0.0070,-0.0070,2
137,1707734760,6B14,6280,0.0050,-0.0050,2
138,1707734820,6B14,6280,0.0070,-0.0070,2
139,1707734880,6B14,6280,0.0060,-0.0060,2
140,1707734940,6B14,6280,0.0010,-0.0010,2
141,1707735000,6B14,6280,0.0070,-0.0070,2
142,1707735060,6B14,6280,0.0030,-0.0030,2
143,1707735120,6B14,6280,0.0060,-0.0060,2
144,1707735180,6B14,6280,0.0050,-0.0050,2
145,1707735240,6B14,6280,0.0080,-0.0080,2
146,1707735300,6B14,6280,0.0030,-0.0030,2
147,1707735360,6B14,6280,0.0040,-0.0040,2
148,1707735420,6B14,6280,0.0050,-0.0050,2
