groupCounter,mostFrequentTimestampInGroup,tagA,tagB,timeDiffMs,timeDiffBMinusAMs,tagCntInGroup
1,1704794400,6B14,6280,0.0020,-0.0020,2
2,1704798000,6B14,6280,0.0010,0.0010,2
3,1704801600,6B14,6280,0.0030,0.0030,2
4,1704805200,6B14,6280,0.0040,0.0040,2
5,1704808800,6B14,6280,0.0060,0.0060,2
6,1704812400,6B14,6280,0.0070,0.0070,2
7,1704816000,6B14,6280,0.0080,0.0080,2
8,1704819600,6B14,6280,0.0090,0.0090,2
9,1704823200,6B14,6280,0.0100,0.0100,2
10,1704826800,6B14,6280,0.0120,0.0120,2
11,1704830400,6B14,6280,0.0120,0.0120,2
12,1704834000,6B14,6280,0.0130,0.0130,2
13,1704837600,6B14,6280,0.0130,0.0130,2
14,1704841200,6B14,6280,0.0140,0.0140,2
15,1704844800,6B14,6280,0.0150,0.0150,2
16,1704848400,6B14,6280,0.0150,0.0150,2
17,1704852000,6B14,6280,0.0160,0.0160,2
18,1704855600,6B14,6280,0.0170,0.0170,2
19,1704859200,6B14,6280,0.0170,0.0170,2
20,1704862800,6B14,6280,0.0180,0.0180,2
21,1704866400,6B14,6280,0.0200,0.0200,2
22,1704870000,6B14,6280,0.0190,0.0190,2
23,1704873600,6B14,6280,0.0200,0.0200,2
24,1704877200,6B14,6280,0.0200,0.0200,2
25,1704880800,6B14,6280,0.0200,0.0200,2
26,1704884400,6B14,6280,0.0200,0.0200,2
27,1704888000,6B14,6280,0.0190,0.0190,2
28,1704891600,6B14,6280,0.0200,0.0200,2
29,1704895200,6B14,6280,0.0190,0.0190,2
30,1704898800,6B14,6280,0.0190,0.0190,2
31,1704902400,6B14,6280,0.0210,0.0210,2
32,1704906000,6B14,6280,0.0220,0.0220,2
33,1704909600,6B14,6280,0.0230,0.0230,2
34,1704913200,6B14,6280,0.0230,0.0230,2
35,1704916800,6B14,6280,0.0230,0.0230,2
36,1704920400,6B14,6280,0.0240,0.0240,2
37,1704924000,6B14,6280,0.0260,0.0260,2
38,1704927600,6B14,6280,0.0270,0.0270,2
39,1704931200,6B14,6280,0.0270,0.0270,2
40,1704934800,6B14,6280,0.0280,0.0280,2
41,1704938400,6B14,6280,0.0290,0.0290,2
42,1704942000,6B14,6280,0.0280,0.0280,2
43,1704945600,6B14,6280,0.0300,0.0300,2
44,1704949200,6B14,6280,0.0320,0.0320,2
45,1704952800,6B14,6280,0.0320,0.0320,2
