Network,NTPminusSYS,SNTPminusSYS,Delay,RuntimeNTPOrder,PPStoUART,Sats
WiFi,1.533,-5.711,14.304,NTPfirst,123665.0,6
WiFi,0.017,-8.294,18.495,NTPfirst,111998.0,5
WiFi,1.62,-9.35,21.019,NTPfirst,178689.0,6
WiFi,-0.138,-9.004,17.045,NTPfirst,100792.0,4
WiFi,0.025,-7.81,18.953,NTPfirst,169554.0,6
WiFi,1.191,-5.669,12.899,NTPfirst,167575.0,6
WiFi,0.681,-15.294,31.008,NTPfirst,83174.0,5
WiFi,-0.297,-6.733,20.106,NTPfirst,178476.0,7
WiFi,-1.864,-20.237,31.608,NTPfirst,166921.0,6
WiFi,1.843,-4.514,13.213,NTPfirst,111243.0,5
WiFi,-1.894,-18.396,31.771,NTPfirst,147076.0,6
WiFi,-0.598,-139.549,30.249,NTPfirst,95831.0,5
WiFi,1.014,-6.888,13.129,NTPfirst,186805.0,7
WiFi,-1.708,-13.045,18.801,NTPfirst,147229.0,6
WiFi,0.352,-8.811,19.224,NTPfirst,170397.0,6
WiFi,1.873,-7.382,18.374,NTPfirst,96119.0,5
WiFi,1.091,-7.843,20.825,NTPfirst,178213.0,7
WiFi,1.101,-12.63,14.067,NTPfirst,167214.0,6
WiFi,1.325,-6.149,14.508,NTPfirst,96230.0,4
WiFi,0.571,-6.202,15.481,NTPfirst,113684.0,5
WiFi,3.903,-8.119,23.803,NTPfirst,183319.0,8
WiFi,0.829,-8.251,22.6,NTPfirst,176859.0,7
WiFi,-1.077,-8.312,18.651,NTPfirst,155062.0,7
WiFi,0.04,-6.602,15.019,NTPfirst,163435.0,8
WiFi,0.172,-5.982,13.744,NTPfirst,164532.0,8
WiFi,0.069,-6.101,14.129,NTPfirst,192387.0,8
WiFi,-1.987,-6.925,19.819,NTPfirst,170062.0,8
WiFi,-0.899,-7.185,19.727,NTPfirst,194281.0,9
WiFi,1.747,-13.429,31.578,NTPfirst,198102.0,9
WiFi,-0.028,-7.6,14.32,NTPfirst,192531.0,9
WiFi,0.156,-6.55,16.126,NTPfirst,164435.0,8
WiFi,-0.392,-7.301,17.686,NTPfirst,142109.0,6
WiFi,2.577,-6.655,17.96,NTPfirst,182960.0,8
WiFi,0.977,-19.299,41.424,NTPfirst,156370.0,7
WiFi,0.106,-18.572,40.257,NTPfirst,168338.0,6
WiFi,2.135,-3.981,16.949,NTPfirst,168696.0,6
WiFi,0.035,-8.143,14.397,NTPfirst,102945.0,4
WiFi,-2.189,-6.099,14.069,NTPfirst,93120.0,5
WiFi,-1.833,-6.176,20.304,NTPfirst,111251.0,5
WiFi,-0.834,-6.781,17.189,NTPfirst,174607.0,6
WiFi,1.721,-7.115,17.033,NTPfirst,155467.0,7
WiFi,-4.619,-19.086,30.529,NTPfirst,178213.0,6
WiFi,-3.857,-17.39,42.289,NTPfirst,92904.0,5
WiFi,1.066,-6.48,14.611,NTPfirst,135241.0,6
WiFi,0.502,-6.871,14.36,NTPfirst,184763.0,7
WiFi,-1.203,-11.075,10.912,NTPfirst,157418.0,7
WiFi,1.178,-4.901,12.865,NTPfirst,91646.0,5
WiFi,0.308,-3.997,11.149,NTPfirst,195327.0,8
WiFi,2.864,-6.562,18.315,NTPfirst,173841.0,7
WiFi,0.8,-6.441,17.124,NTPfirst,194852.0,8
WiFi,0.154,-7.098,15.511,NTPfirst,176781.0,6
WiFi,-60.023,-100.488,227.74,NTPfirst,185708.0,8
WiFi,-0.221,-14.05,23.922,NTPfirst,165268.0,7
WiFi,0.523,-7.084,13.541,NTPfirst,166617.0,6
WiFi,0.25,-6.484,16.213,NTPfirst,144980.0,6
WiFi,2.766,-6.575,18.19,NTPfirst,91515.0,5
WiFi,2.702,-6.255,18.39,NTPfirst,178332.0,7
WiFi,0.639,-5.989,12.547,NTPfirst,176470.0,7
WiFi,1.55,-6.483,14.328,NTPfirst,167591.0,7
WiFi,-0.777,-8.148,16.811,NTPfirst,149546.0,6
WiFi,0.649,,10.409,NTPfirst,168927.0,7
WiFi,-2.573,-15.173,21.28,NTPfirst,185654.0,7
WiFi,-75.748,-142.437,253.582,NTPfirst,185199.0,8
WiFi,3.15,,20.3,NTPfirst,185682.0,8
WiFi,0.783,-5.976,15.944,NTPfirst,156419.0,7
WiFi,-2.315,-11.653,18.25,NTPfirst,186729.0,7
WiFi,-2.775,-11.421,17.992,NTPfirst,186380.0,7
WiFi,0.334,-6.861,15.464,NTPfirst,178857.0,6
WiFi,1.206,-6.353,14.967,NTPfirst,188475.0,8
WiFi,-2.094,-6.428,15.392,NTPfirst,186786.0,8
WiFi,1.115,-7.51,21.445,NTPfirst,186071.0,8
WiFi,1.088,-8.107,21.455,NTPfirst,194747.0,8
WiFi,-3.18,-6.923,21.333,NTPfirst,179112.0,7
WiFi,-0.219,-6.883,19.095,NTPfirst,177237.0,7
WiFi,2.606,-12.964,30.932,NTPfirst,177802.0,6
WiFi,2.963,-12.756,31.119,NTPfirst,147636.0,6
