networkClass,connectivity,timeDifferenceTo1PPSms
Broadband,WiFi,1.533
Broadband,WiFi,0.017
Broadband,WiFi,1.62
Broadband,WiFi,-0.138
Broadband,WiFi,0.025
Broadband,WiFi,1.191
Broadband,WiFi,0.681
Broadband,WiFi,-0.297
Broadband,WiFi,-1.864
Broadband,WiFi,1.843
Broadband,WiFi,-1.894
Broadband,WiFi,-0.598
Broadband,WiFi,1.014
Broadband,WiFi,-1.708
Broadband,WiFi,0.352
Broadband,WiFi,1.873
Broadband,WiFi,1.091
Broadband,WiFi,1.101
Broadband,WiFi,1.325
Broadband,WiFi,0.571
Broadband,WiFi,3.903
Broadband,WiFi,0.829
Broadband,WiFi,-1.077
Broadband,WiFi,0.04
Broadband,WiFi,0.172
Broadband,WiFi,0.069
Broadband,WiFi,-1.987
Broadband,WiFi,-0.899
Broadband,WiFi,1.747
Broadband,WiFi,-0.028
Broadband,WiFi,0.156
Broadband,WiFi,-0.392
Broadband,WiFi,2.577
Broadband,WiFi,0.977
Broadband,WiFi,0.106
Broadband,WiFi,2.135
Broadband,WiFi,0.035
Broadband,WiFi,-2.189
Broadband,WiFi,-1.833
Broadband,WiFi,-0.834
Broadband,WiFi,1.721
Broadband,WiFi,-4.619
Broadband,WiFi,-3.857
Broadband,WiFi,1.066
Broadband,WiFi,0.502
Broadband,WiFi,-1.203
Broadband,WiFi,1.178
Broadband,WiFi,0.308
Broadband,WiFi,2.864
Broadband,WiFi,0.8
Broadband,WiFi,0.154
Broadband,WiFi,-60.023
Broadband,WiFi,-0.221
Broadband,WiFi,0.523
Broadband,WiFi,0.25
Broadband,WiFi,2.766
Broadband,WiFi,2.702
Broadband,WiFi,0.639
Broadband,WiFi,1.55
Broadband,WiFi,-0.777
Broadband,WiFi,0.649
Broadband,WiFi,-2.573
Broadband,WiFi,-75.748
Broadband,WiFi,3.15
Broadband,WiFi,0.783
Broadband,WiFi,-2.315
Broadband,WiFi,-2.775
Broadband,WiFi,0.334
Broadband,WiFi,1.206
Broadband,WiFi,-2.094
Broadband,WiFi,1.115
Broadband,WiFi,1.088
Broadband,WiFi,-3.18
Broadband,WiFi,-0.219
Broadband,WiFi,2.606
Broadband,WiFi,2.963
Broadband,WiFi,-2.099
Broadband,WiFi,1.009
Broadband,WiFi,0.93
Broadband,WiFi,0.79
Broadband,WiFi,1.273
Broadband,WiFi,1.229
Broadband,WiFi,0.527
Broadband,WiFi,-1.865
Broadband,WiFi,1.557
Broadband,WiFi,0.028
